wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
337.82,2482.5,-246.052,99.778,333.822,4084.438,38.945,167.246,60.236,1964.881,760.752,1634.094,3764.773,1028.784,1321.569,6444.923,6209.975,5264.92,4840.519,665.238,570.486,1158.445,4299.163,6842.732,5097.548,1342.33,8.175,466.102,1468.536,1520.682,1153.121,2287.965,737.285,2379.738,904.914,3599.963,2038.977,2565.489,6764.727,3630.698,673.206,533.531,2367.863,2095.192,2185.167,2807.503,2236.007,4250.643,1307.432,1609.964,619.552,1622.89,1345.622,1686.89,2522.077,2098.788,3156.228,3650.705,5285.259,811.447,507.628,851.723,2771.725,2331.128,3651.352,1747.285,779.079,1525.477,-11.657,846.264,1663.101,2227.533,2120.188,3014.401,1416.665,2425.223,2072.294,1354.221,3127.336,823.141,122.922,346.941,1820.713,554.897,2115.871,3876.878,1028.476,6771.773,427.68,1413.17,369.433,-183.043,2543.893,3010.791,1733.409,5540.495,3137.401,-62.205,85.832,765.212,80.116
337.87,770.0,-324.687,685.654,-66.764,4672.721,781.49,253.482,678.315,2259.235,1017.87,532.278,4570.94,2140.405,58.975,5087.25,6538.09,4936.031,5905.703,795.04,-45.963,1017.37,4375.063,7146.372,4796.255,554.322,155.332,1123.007,1212.428,2154.072,884.698,2833.24,1137.447,2697.14,1678.205,4058.19,1961.722,2011.013,7734.467,2998.79,940.263,240.228,3413.413,2215.637,1298.758,3381.381,2207.845,4177.453,223.082,482.989,729.883,3333.275,1836.478,1998.228,2751.614,1126.388,2376.421,3721.073,5628.457,-111.825,943.878,1608.491,4261.311,3023.542,3178.619,2890.857,587.216,1956.336,355.525,1205.196,2112.43,2951.481,1048.38,3351.287,1723.999,2393.042,1745.397,1523.499,2733.134,1135.467,275.11,776.206,1644.798,1617.715,1624.424,4859.335,1663.193,7794.317,979.24,1714.096,-138.907,209.614,3016.626,2812.83,2472.919,6218.682,3307.49,30.745,1512.423,474.55,-56.378
337.91,2647.5,-1902.461,565.408,-806.309,4535.971,215.494,1228.212,887.833,2273.39,935.698,1639.417,4946.086,1365.477,495.923,5352.881,6876.962,5124.738,6126.83,1203.377,821.932,1446.021,3835.634,8707.946,5705.562,1293.419,746.683,1199.328,1332.309,2528.1,1947.432,3079.847,1000.405,2840.376,2059.365,4568.551,2632.184,1335.158,8631.606,3250.999,828.989,1131.308,2831.931,2176.422,3610.154,3420.765,2700.668,5703.18,-64.948,2245.476,811.924,1267.266,832.198,1035.909,3632.924,2344.027,2584.18,3807.754,5957.356,799.978,1333.588,523.695,5050.763,3196.645,3225.023,1776.31,540.704,1039.304,1669.804,887.118,878.234,3675.429,1666.28,3011.471,409.779,2436.924,2974.18,1120.735,2686.414,1973.203,787.284,426.325,1826.577,1244.848,2277.725,4815.212,1360.527,8542.807,297.901,1062.09,936.881,634.745,3784.816,3055.111,2339.807,7309.679,3056.251,-20.152,56.235,569.46,-183.971
337.96,2100.0,-507.323,191.881,197.726,5093.291,405.025,807.484,484.511,2108.431,1494.997,1695.306,5188.203,1776.99,729.141,6562.981,7035.641,6068.272,5401.426,662.533,1116.639,1587.097,4911.78,7618.098,5227.837,1293.419,722.157,1049.412,1691.95,2124.041,1626.968,3003.125,2184.446,2810.084,2243.09,4107.58,2645.98,2168.252,9284.301,3838.562,1173.938,1357.57,4003.282,1613.41,3180.975,3074.75,1960.026,4557.477,652.304,1499.808,761.002,1394.274,2493.773,2170.88,2473.903,2600.672,3278.607,3958.298,6266.235,1040.832,1581.958,1461.741,4390.966,3987.152,4170.488,2173.948,851.755,1411.939,1276.394,1222.705,1041.626,4188.348,2594.594,2864.999,2549.411,2749.951,2685.226,1003.992,3407.658,2145.42,266.33,97.026,1498.203,1238.976,2009.931,4976.994,1683.762,9721.532,976.291,1410.22,416.72,817.788,4916.42,4680.17,2712.52,7687.104,2494.658,-152.439,1151.336,-74.148,311.563
338.0,2402.5,885.279,772.639,778.063,5655.772,532.244,666.37,335.229,1865.44,1590.422,1958.784,5595.277,1728.891,402.1,5674.859,7465.955,5542.588,5673.79,603.041,1749.31,1606.088,3941.351,8209.11,5895.567,2043.385,536.849,596.938,1008.086,2203.214,1372.241,3373.035,1803.47,2606.915,1159.936,5040.497,2574.243,3307.55,9502.787,4154.516,1538.359,991.641,4702.179,2145.611,2042.107,3204.154,2954.12,6074.76,1265.074,1429.196,792.121,290.709,3718.281,2652.039,3907.803,3005.601,4377.168,4220.257,6649.473,1126.851,1594.195,1384.05,4480.283,4595.899,4106.683,2327.779,1191.875,1743.818,477.919,1170.178,910.329,4346.62,2363.248,3152.085,5894.964,2618.304,2842.837,1678.184,4400.463,2089.96,1115.074,-35.282,2031.81,2008.198,2742.687,4144.554,1307.634,10705.767,1719.569,1749.499,375.344,360.181,5037.558,4378.796,2830.841,8126.452,2689.737,-303.667,1225.329,1135.954,999.97
338.05,2642.5,1045.085,207.231,146.368,6308.56,617.923,655.917,373.898,1645.507,1113.296,2805.107,5377.106,1672.776,962.359,6933.256,6984.541,6407.944,6029.75,708.505,1095.009,1638.643,4572.944,9288.115,6340.72,2086.861,534.123,853.158,1811.831,2326.07,1898.13,2682.536,1987.106,2231.507,1552.065,4598.733,2549.411,3064.794,10805.411,3896.764,1413.176,991.641,4730.135,2523.754,2880.83,3021.3,2388.078,5190.851,513.936,1364.232,676.132,1478.947,4097.174,1814.255,3734.941,3333.537,4465.394,4611.444,6712.393,974.884,1275.51,2394.033,4514.858,3871.749,4213.991,2356.803,1081.409,2756.92,8.742,857.936,1517.215,4375.93,3189.067,3541.701,5693.001,3106.859,2486.753,802.61,3632.499,1882.716,1998.939,673.3,2304.477,1423.941,2936.912,5185.84,2133.353,10708.714,1247.646,1761.3,984.169,-262.755,5498.472,4364.022,2608.988,7631.08,3076.941,-411.38,1399.953,424.129,922.821
338.09,2160.0,555.519,1381.541,433.969,5975.716,519.263,966.89,501.639,1549.717,1402.222,1232.224,5496.834,1515.118,1436.837,6190.024,7124.393,6469.948,6331.777,592.224,1508.679,1288.668,4751.849,9279.981,5054.119,2122.186,972.868,1136.636,2130.604,2746.51,1246.247,3756.646,2170.742,1684.505,2152.599,4409.406,2574.243,2631.695,10896.677,4165.602,1371.448,1106.168,5387.099,2708.624,3018.28,3457.335,2672.507,5584.95,1095.645,1785.083,1374.896,1848.684,3895.497,1140.632,2751.614,3179.55,3964.496,4951.235,5605.577,2067.327,702.538,1602.736,4909.584,4148.715,5429.175,2461.292,1270.364,1775.841,3048.193,1701.282,1572.651,4150.245,2793.728,2756.609,2432.331,2916.703,2267.849,-183.55,3842.74,2332.232,35.12,182.291,2401.23,538.751,2389.551,5579.999,1416.359,10299.107,1622.235,1920.613,138.907,32.475,5273.924,4455.616,3741.916,7996.712,2970.534,-413.131,819.846,246.173,183.971
338.13,2472.5,-558.055,196.997,84.74,6117.626,270.017,1026.994,673.019,1386.589,1041.727,1650.063,5028.566,1961.37,1123.199,6211.489,6704.837,5626.159,6685.04,283.943,1492.456,1264.251,5275.014,8960.076,5765.278,1817.852,1182.702,572.406,2231.413,2009.375,1991.256,3041.486,2274.894,1278.468,1667.236,5331.348,2174.173,3696.511,11599.153,4819.682,1377.012,1262.596,4503.693,1924.327,3180.975,3474.214,2799.233,5202.111,962.925,2533.575,1202.327,1716.03,3378.301,2802.048,3445.894,3704.247,4747.149,4711.382,7433.11,1316.093,570.093,2120.676,5160.249,4365.094,4970.943,2127.509,1040.71,2634.649,5111.406,1444.485,1038.709,4572.304,1815.63,3808.281,2060.603,3373.078,2276.605,-809.542,3515.698,1973.203,222.43,285.197,2506.778,-199.305,2439.579,5844.733,2638.776,11315.757,834.714,2200.887,567.449,-557.985,5897.34,4680.17,4061.384,8170.681,3458.234,-246.464,1183.893,-163.127,-142.429
338.18,2060.0,-240.978,1476.202,323.551,5379.692,49.33,415.501,842.611,613.046,1707.053,1572.882,5691.059,1475.035,1485.089,6729.337,6720.973,5370.056,5913.793,905.913,1930.46,1668.486,5505.423,9594.465,7244.598,2412.933,1425.238,419.765,2367.64,2907.588,1766.657,3219.591,1773.321,1780.528,1626.104,5155.74,2527.338,2444.111,9964.652,4786.423,1791.507,455.317,5356.347,2504.146,2594.711,3924.315,2669.691,5812.965,923.391,2330.211,243.294,1820.459,2810.626,2068.987,4485.897,3878.195,3608.744,4508.65,7290.111,1095.31,1474.179,2212.754,5272.616,5118.095,5284.165,2504.829,700.59,2815.145,7308.669,1546.62,1949.037,4944.537,3007.504,3269.263,2818.694,9738.921,3315.671,-1114.859,4309.942,2408.125,193.163,770.326,2788.241,-776.612,2286.554,5300.558,1724.901,10982.767,4321.044,1849.807,-307.368,1139.589,6576.894,5288.829,3993.349,7855.177,2692.693,151.07,559.389,-11.864,-186.938
338.22,2720.0,-195.319,33.259,716.434,6179.55,1015.159,721.248,964.986,1668.116,2003.932,1769.825,5858.678,2223.242,857.813,6206.123,7011.436,6378.29,6803.694,616.562,1246.417,1836.691,4746.428,9345.047,6145.287,2339.567,1649.215,888.593,1588.417,2498.068,1591.361,3120.948,2143.334,1097.398,2328.098,5155.74,2869.467,3340.653,10694.784,4841.854,1663.542,879.906,4556.809,1910.322,2917.296,3128.199,2872.452,5694.735,1358.261,1344.461,1046.731,1597.488,2457.527,1633.113,4242.19,3564.518,4351.554,5296.736,7470.29,1760.525,1240.959,2011.333,5091.1,4855.554,5287.065,2789.271,593.031,2477.444,6542.25,1211.032,866.563,5070.568,3112.927,3565.137,2698.688,5602.293,2796.138,-1138.988,4020.861,2148.339,883.865,258.735,2474.527,-1179.534,2692.66,6477.152,1727.84,10838.373,1631.084,2395.604,919.148,224.375,5788.021,4686.079,3416.532,7807.999,3419.809,509.493,2003.738,866.054,664.669
