sol,target,scan,point,mean,amplitude,fwhm,snr
861,Dragons_Egg_Lake,detail_1,11,1011.6510029107507,101817.22172135123,30.0,1265.2698611739497
861,Dragons_Egg_Lake,detail_1,53,1017.6491622344182,94465.33377556276,30.0,788.9814777417355
861,Dragons_Egg_Lake,detail_1,46,1016.6822920757544,124630.21204071543,30.0,726.6190877400015
861,Dragons_Egg_Lake,detail_1,38,1016.2764067834119,51992.833392476176,30.251927724942302,661.0595908329623
861,Dragons_Egg_Lake,detail_1,21,1014.05605576313,82610.53855276565,30.37571253128964,658.785712173506
861,Dragons_Egg_Lake,detail_1,50,1011.8378479248099,69077.07365993525,30.00207764874959,656.2810409794763
861,Dragons_Egg_Lake,detail_1,4,1011.4687649792758,84081.71088084929,30.0,651.1673620228897
861,Dragons_Egg_Lake,detail_1,60,1013.4175702889559,68697.69947639348,31.284817246010668,636.4085557731884
861,Dragons_Egg_Lake,detail_1,62,1016.0299268720296,83021.85220993348,30.0,600.7540292831924
861,Dragons_Egg_Lake,detail_1,41,1014.3229075585155,46000.92069115429,30.0,590.1731628557623
861,Dragons_Egg_Lake,detail_1,8,1014.7286309983048,40385.65349908145,30.0,548.9389511853143
861,Dragons_Egg_Lake,detail_1,51,1011.6248859669323,98593.71005821077,31.803871929203027,523.8901936981848
861,Dragons_Egg_Lake,detail_1,55,1010.5112008987971,54606.06007695616,30.0,523.0635851457779
861,Dragons_Egg_Lake,detail_1,77,1012.4198746105789,94115.28613658868,30.0,521.7544773493717
861,Dragons_Egg_Lake,detail_1,23,1014.3477858518288,85311.6204429831,30.0,505.6439568989347
861,Dragons_Egg_Lake,detail_1,22,1011.3336840654343,86934.11545192133,30.0,499.43225348591517
861,Dragons_Egg_Lake,detail_1,36,1009.8691611898895,54928.56904752537,30.0,482.27212264357274
861,Dragons_Egg_Lake,detail_1,28,1013.0885167209335,55036.54746923839,30.0,481.3477332104402
861,Dragons_Egg_Lake,detail_1,27,1010.2551120015626,44680.740876120915,33.2728341109263,464.77686270105585
861,Dragons_Egg_Lake,detail_1,37,1011.0798445310587,50055.987864289345,33.12337813570922,456.2458035607929
861,Dragons_Egg_Lake,detail_1,31,1009.4830324145008,65278.48226531585,30.0,446.6236719130558
861,Dragons_Egg_Lake,detail_1,34,1012.3661489641705,78079.84780191872,31.69966745256426,432.9411387802728
861,Dragons_Egg_Lake,detail_1,58,1018.0922778003778,42523.92511756016,30.0,427.0259060837234
861,Dragons_Egg_Lake,detail_1,64,1010.1377683489931,85477.1177374352,31.238806774899228,410.5578361398646
861,Dragons_Egg_Lake,detail_1,91,1012.4209091498633,57329.06079037124,30.0,403.6295625141735
861,Dragons_Egg_Lake,detail_1,12,1016.6576073922422,32592.62340472253,30.0,378.3369366482893
861,Dragons_Egg_Lake,detail_1,40,1011.1490975995836,48053.97160553101,30.0,376.3490807819718
861,Dragons_Egg_Lake,detail_1,88,1014.6988762102199,47344.09781331672,30.0,374.95842245905453
861,Dragons_Egg_Lake,detail_1,56,1010.9101126433549,58379.58991829168,31.000315583443342,359.7997475440233
861,Dragons_Egg_Lake,detail_1,81,1017.1547091888738,40463.45462194374,30.0,354.3369987181624
861,Dragons_Egg_Lake,detail_1,61,1013.3434967160968,94811.09876014819,30.0,347.84947212055306
861,Dragons_Egg_Lake,detail_1,10,1009.8219259381842,54568.25381767451,30.0,346.6179373024769
861,Dragons_Egg_Lake,detail_1,52,1018.565434298652,59018.70410061495,30.0,342.62213328035983
861,Dragons_Egg_Lake,detail_1,15,1012.3472704217645,44692.09831690232,30.0,323.9630034328157
861,Dragons_Egg_Lake,detail_1,76,1016.6350955910326,45030.22359544006,30.004552607174755,319.3706358815791
861,Dragons_Egg_Lake,detail_1,95,1013.8307279568241,37317.349276997185,30.0,308.5771176348562
861,Dragons_Egg_Lake,detail_1,44,1015.8763199751688,38476.330142449064,30.0,301.1368084337926
861,Dragons_Egg_Lake,detail_1,78,1017.5369186192218,51615.160148478404,30.0,295.7127384223865
861,Dragons_Egg_Lake,detail_1,32,1021.101169190025,42155.39802610136,30.0,294.42977138093454
861,Dragons_Egg_Lake,detail_1,72,1015.0140579997858,42600.15909621531,30.0,280.218694750203
861,Dragons_Egg_Lake,detail_1,17,1013.1811745422851,72938.40027383604,30.0,274.89221066041523
861,Dragons_Egg_Lake,detail_1,45,1019.0114764946484,36834.205207116254,30.0,273.42820814036423
861,Dragons_Egg_Lake,detail_1,48,1013.6131220384312,55732.71965688255,30.058665681382056,262.5636872435707
861,Dragons_Egg_Lake,detail_1,84,1018.0921355863028,41726.964246310396,30.0,261.5031697609302
861,Dragons_Egg_Lake,detail_1,74,1013.1180741847305,39042.46711465606,30.0,258.8822844281235
861,Dragons_Egg_Lake,detail_1,39,1013.9935423724421,36632.51147035849,30.0,256.39997052128
861,Dragons_Egg_Lake,detail_1,19,1013.943858718601,28102.70258497311,30.0,254.60321299277788
861,Dragons_Egg_Lake,detail_1,47,1009.2734788843305,51891.80175068663,31.5500659416594,251.32453090865258
861,Dragons_Egg_Lake,detail_1,63,1015.2332784777576,40655.71314172403,35.59089317786027,247.30735728029873
861,Dragons_Egg_Lake,detail_1,94,1011.37232034561,57226.63197369469,32.69095994316959,237.26871224698223
861,Dragons_Egg_Lake,detail_1,75,1019.4184746516426,23292.154042867438,30.0,237.1039292981372
861,Dragons_Egg_Lake,detail_1,85,1012.9388396362939,33045.41349515383,31.384071429177872,236.36852792989805
861,Dragons_Egg_Lake,detail_1,69,1012.1587004358149,27481.363946260077,30.00962100321143,235.46429769476939
861,Dragons_Egg_Lake,detail_1,35,1019.7951376571116,29520.158076116593,30.0,229.41729091189057
861,Dragons_Egg_Lake,detail_1,59,1014.0810874140293,38463.272196017264,30.0,227.65046272967746
861,Dragons_Egg_Lake,detail_1,33,1012.9678967397352,51881.16111816142,30.0,226.13110014336752
861,Dragons_Egg_Lake,detail_1,30,1018.8940013741262,34063.16617967706,30.0,221.6109077052166
861,Dragons_Egg_Lake,detail_1,20,1015.4480350433042,26245.639362432918,30.0,211.1926662689248
861,Dragons_Egg_Lake,detail_1,97,1009.508160140119,20083.87771814845,30.0,209.41600675924732
861,Dragons_Egg_Lake,detail_1,66,1014.7167060537408,37010.24983085502,30.0,198.9014028464707
861,Dragons_Egg_Lake,detail_1,57,1018.2867390945081,41035.66915211979,30.0,195.17675172107965
861,Dragons_Egg_Lake,detail_1,79,1019.0893209201124,24634.250316991525,30.0,195.0900393247165
861,Dragons_Egg_Lake,detail_1,42,1012.8021587686435,14716.18835164114,31.339579470190948,180.82912988535105
