sol,target,scan,point,mean,amplitude,fwhm,snr,min_ID,peak_ID,master_ID
861,Dragons_Egg_Lake,detail_1,0,700.0,3015.460320980026,30.0,26.81293669056796,reject,1,861_Dragons_Egg_Lake_detail_1_f1
861,Dragons_Egg_Lake,detail_1,0,988.3304582612354,558.5337970815252,68.25176774390502,4.96638315433787,reject,2,861_Dragons_Egg_Lake_detail_1_f2
861,Dragons_Egg_Lake,detail_1,0,1013.3304582622636,13724.380202872471,30.0,122.03474704562076,sulf1_v1,3,861_Dragons_Egg_Lake_detail_1_f3
861,Dragons_Egg_Lake,detail_1,0,1066.1066322586453,306.9826748219447,30.0,2.7296353289195,reject,4,861_Dragons_Egg_Lake_detail_1_f4
861,Dragons_Egg_Lake,detail_1,0,1139.741005378936,1931.202072179869,86.1437023260485,17.17190524371535,unidentified,5,861_Dragons_Egg_Lake_detail_1_f5
861,Dragons_Egg_Lake,detail_1,1,700.0,464.06014815431126,30.0,2.314668008478788,reject,6,861_Dragons_Egg_Lake_detail_1_f6
861,Dragons_Egg_Lake,detail_1,1,1010.0725596983608,1983.9551059259431,36.69911011157929,9.89569440989341,sulf1_v1,7,861_Dragons_Egg_Lake_detail_1_f7
861,Dragons_Egg_Lake,detail_1,2,942.7105967308264,457.2968299964148,38.11500651245395,2.9620103905180626,unidentified,8,861_Dragons_Egg_Lake_detail_1_f8
861,Dragons_Egg_Lake,detail_1,2,1016.237869004962,3002.916404505842,35.99928823229371,19.450538487382865,sulf1_v1,9,861_Dragons_Egg_Lake_detail_1_f9
861,Dragons_Egg_Lake,detail_1,2,1088.7262903946005,1056.3807896618305,50.52707395247415,6.842406660344768,hi-carb,10,861_Dragons_Egg_Lake_detail_1_f10
861,Dragons_Egg_Lake,detail_1,2,1161.57950977183,536.3097346722781,30.0,3.473794048928192,reject,11,861_Dragons_Egg_Lake_detail_1_f11
861,Dragons_Egg_Lake,detail_1,3,700.0,489.45894295872694,30.0,2.8367780936448135,unidentified,12,861_Dragons_Egg_Lake_detail_1_f12
861,Dragons_Egg_Lake,detail_1,3,982.6438674167074,1046.5003882375413,46.33754488836996,6.065246981488661,pyroxene,13,861_Dragons_Egg_Lake_detail_1_f13
861,Dragons_Egg_Lake,detail_1,3,1019.245975682706,10750.451650121606,30.0,62.30685162989106,sulf1_v1,14,861_Dragons_Egg_Lake_detail_1_f14
861,Dragons_Egg_Lake,detail_1,3,1092.9705905432156,1344.1592805049315,74.67447509286774,7.790401332246773,hi-carb,15,861_Dragons_Egg_Lake_detail_1_f15
