LASER_SHOT_POSITION:
number,spec_name,image_name,samp,line
0,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,757.872,614.296
1,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,767.417,613.884
2,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,776.999,613.923
3,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,786.711,613.714
4,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,796.31,613.681
5,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,806.022,613.472
6,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,815.687,613.613
7,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,825.372,613.214
8,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,834.898,613.342
9,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,844.536,613.293
10,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,844.905,623.391
11,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,835.023,623.266
12,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,825.441,623.227
