pixel,wavelength,raman_shift
0,246.69,-308.11
1,246.76,-297.39
2,246.82,-286.69
3,246.89,-275.99
4,246.95,-265.3
5,247.02,-254.61
6,247.08,-243.94
7,247.15,-233.27
8,247.21,-222.61
9,247.28,-211.96
10,247.34,-201.32
11,247.41,-190.68
12,247.47,-180.06
13,247.54,-169.44
14,247.6,-158.83
15,247.67,-148.23
16,247.73,-137.63
17,247.8,-127.05
18,247.86,-116.47
19,247.93,-105.9
20,247.99,-95.34
21,248.06,-84.79
22,248.12,-74.24
23,248.19,-63.71
24,248.25,-53.18
25,248.32,-42.66
26,248.38,-32.14
27,248.45,-21.64
28,248.51,-11.14
29,248.58,-0.65
30,248.64,9.83
31,248.7,20.3
32,248.77,30.76
33,248.83,41.22
34,248.9,51.67
35,248.96,62.11
36,249.03,72.54
37,249.09,82.97
38,249.16,93.39
39,249.22,103.79
40,249.29,114.2
41,249.35,124.59
42,249.42,134.97
43,249.48,145.35
44,249.55,155.72
45,249.61,166.08
46,249.67,176.44
47,249.74,186.78
48,249.8,197.12
49,249.87,207.45
50,249.93,217.77
51,250,228.09
52,250.06,238.39
53,250.13,248.69
54,250.19,258.98
55,250.25,269.27
56,250.32,279.54
57,250.38,289.81
58,250.45,300.07
59,250.51,310.32
60,250.58,320.57
61,250.64,330.8
62,250.7,341.03
63,250.77,351.25
64,250.83,361.47
65,250.9,371.67
66,250.96,381.87
67,251.03,392.06
68,251.09,402.24
69,251.15,412.42
70,251.22,422.58
71,251.28,432.74
72,251.35,442.89
73,251.41,453.04
74,251.47,463.17
75,251.54,473.3
76,251.6,483.42
77,251.67,493.54
78,251.73,503.64
79,251.79,513.74
80,251.86,523.83
81,251.92,533.92
82,251.99,543.99
83,252.05,554.06
84,252.11,564.12
85,252.18,574.17
86,252.24,584.22
87,252.31,594.26
88,252.37,604.29
89,252.43,614.31
90,252.5,624.32
91,252.56,634.33
92,252.63,644.33
93,252.69,654.32
94,252.75,664.31
95,252.82,674.29
96,252.88,684.26
97,252.94,694.22
98,253.01,704.17
99,253.07,714.12
100,253.14,724.06
101,253.2,733.99
102,253.26,743.92
103,253.33,753.84
104,253.39,763.75
105,253.45,773.65
106,253.52,783.55
107,253.58,793.43
108,253.64,803.31
109,253.71,813.19
110,253.77,823.05
111,253.83,832.91
112,253.9,842.76
113,253.96,852.61
114,254.03,862.44
115,254.09,872.27
116,254.15,882.09
117,254.22,891.91
118,254.28,901.72
119,254.34,911.52
120,254.41,921.31
121,254.47,931.09
122,254.53,940.87
123,254.6,950.64
124,254.66,960.41
125,254.72,970.16
126,254.79,979.91
127,254.85,989.65
128,254.91,999.39
129,254.98,1009.11
130,255.04,1018.83
131,255.1,1028.55
132,255.16,1038.25
133,255.23,1047.95
134,255.29,1057.64
135,255.35,1067.33
136,255.42,1077
137,255.48,1086.67
138,255.54,1096.33
139,255.61,1105.99
140,255.67,1115.64
141,255.73,1125.28
142,255.8,1134.91
143,255.86,1144.54
144,255.92,1154.16
145,255.98,1163.77
146,256.05,1173.37
147,256.11,1182.97
148,256.17,1192.56
149,256.24,1202.15
150,256.3,1211.72
151,256.36,1221.29
152,256.43,1230.85
153,256.49,1240.41
154,256.55,1249.96
155,256.61,1259.5
156,256.68,1269.03
157,256.74,1278.56
158,256.8,1288.08
159,256.86,1297.59
160,256.93,1307.1
161,256.99,1316.6
162,257.05,1326.09
163,257.12,1335.58
164,257.18,1345.05
165,257.24,1354.53
166,257.3,1363.99
167,257.37,1373.45
168,257.43,1382.9
169,257.49,1392.34
170,257.55,1401.78
171,257.62,1411.21
172,257.68,1420.63
173,257.74,1430.04
174,257.8,1439.45
175,257.87,1448.85
176,257.93,1458.25
177,257.99,1467.64
178,258.05,1477.02
179,258.12,1486.39
180,258.18,1495.76
181,258.24,1505.12
182,258.3,1514.47
183,258.37,1523.82
184,258.43,1533.16
185,258.49,1542.49
186,258.55,1551.81
187,258.62,1561.13
188,258.68,1570.45
189,258.74,1579.75
190,258.8,1589.05
191,258.86,1598.34
192,258.93,1607.63
193,258.99,1616.9
194,259.05,1626.18
195,259.11,1635.44
196,259.18,1644.7
197,259.24,1653.95
198,259.3,1663.19
199,259.36,1672.43
200,259.42,1681.66
201,259.49,1690.88
202,259.55,1700.1
203,259.61,1709.31
204,259.67,1718.52
205,259.73,1727.71
206,259.8,1736.9
207,259.86,1746.09
208,259.92,1755.26
209,259.98,1764.43
210,260.04,1773.6
211,260.11,1782.75
212,260.17,1791.9
213,260.23,1801.05
214,260.29,1810.18
215,260.35,1819.31
216,260.42,1828.44
217,260.48,1837.55
218,260.54,1846.66
219,260.6,1855.77
220,260.66,1864.86
221,260.72,1873.95
222,260.79,1883.04
223,260.85,1892.11
224,260.91,1901.18
225,260.97,1910.25
